symbol,signal_time,entry_time,entry_price,take_profit,stop_loss,upper_band,lower_band,rr_ratio,adx,spot_at_entry,exit_time,exit_price,pct_return,outcome,bars_held
C-BTC-67000,2026-06-02 21:01:00,2026-06-02 21:02:00,2151.2222,2796.5888,2043.661,2367.1091,1997.4944,2.01,,67380.0,2026-06-02 21:04:00,2043.661,-5.0,SL,2
P-BTC-62000,2026-06-05 12:15:00,2026-06-05 12:16:00,1860.9701,2419.2611,1767.9216,2047.4997,1714.5731,2.0,,61900.0,2026-06-05 12:57:00,1767.9216,-5.0,SL,41
P-BTC-61000,2026-06-05 20:56:00,2026-06-05 20:57:00,1900.9324,2471.2122,1805.8858,2104.707,1787.9736,2.14,,60874.0,2026-06-05 21:41:00,2471.2122,30.0,TP,44
P-BTC-62400,2026-06-09 19:13:00,2026-06-09 19:24:00,1071.0386,1392.3502,1017.4867,1209.893,988.496,2.59,,62276.0,2026-06-09 19:50:00,1392.3502,30.0,TP,26
P-BTC-62000,2026-06-10 01:02:00,2026-06-10 01:03:00,1026.9461,1335.0299,975.5988,1147.1167,964.2879,2.34,,61928.0,2026-06-10 01:21:00,975.5988,-5.0,SL,18
P-BTC-62200,2026-06-10 01:45:00,2026-06-10 01:46:00,992.5417,1290.3042,942.9146,1112.8815,923.6135,2.42,,62138.0,2026-06-10 06:06:00,1290.3042,30.0,TP,260
P-BTC-61600,2026-06-10 13:05:00,2026-06-10 13:08:00,962.5424,1251.3052,914.4153,1075.6208,898.8194,2.35,,61678.0,2026-06-10 14:40:00,1251.3052,30.0,TP,92
P-BTC-61800,2026-06-11 01:53:00,2026-06-11 02:00:00,721.7487,938.2732,685.6612,797.9315,668.3526,2.11,,61817.0,2026-06-11 02:00:00,685.6612,-5.0,SL,0
P-BTC-61800,2026-06-11 06:32:00,2026-06-11 06:33:00,674.6686,877.0692,640.9352,746.2121,643.4186,2.12,,61880.0,2026-06-11 06:34:00,640.9352,-5.0,SL,1
P-BTC-62000,2026-06-11 06:44:00,2026-06-11 06:45:00,692.9851,900.8806,658.3358,785.0701,638.3835,2.66,,62019.0,2026-06-11 06:46:00,658.3358,-5.0,SL,1
P-BTC-63200,2026-06-11 17:22:00,2026-06-11 17:24:00,570.8892,742.156,542.3447,635.4275,527.9765,2.26,,63162.0,2026-06-11 17:42:00,542.3447,-5.0,SL,18
